"Estado","Año","Nº Demandas","Sectores","Firmas","Normas"
"Nueva York","2024","1600","eCommerce (69%), Food (18%), Healthcare (4%)","Mizrahi Kroub, Gottlieb, Equal Access, Shaked Law","ADA + estatales NY"
"Nueva York","2025","1011","eCommerce (69%), Food (18%), Healthcare (4%)","Mizrahi Kroub, Gottlieb, Equal Access, Shaked Law","ADA + estatales NY"
"Florida","2024","629","Moda, Restaurantes, Healthcare","Gottlieb & Associates, R.V. Hannah","ADA Title III (federal)"
"Florida","2025","544","Moda, Restaurantes, Healthcare","Gottlieb & Associates, R.V. Hannah","ADA Title III (federal)"
"California","2024","485","eCommerce, Food, Entertainment, Educación","Firmas locales (migración a CIPA Act)","ADA + Unruh + CIPA Act"
"California","2025","562","eCommerce, Food, Entertainment, Educación","Firmas locales","ADA + Unruh + CIPA Act"
"Pensilvania","2024","121","Varias","N/D","ADA"
"Otros","2024","353","Varias","N/D","ADA"
"Illinois y Minnesota","2024","En alza","Varias","Nuevos bufetes","ADA estatal/federal"
"Illinois y Minnesota","2025","En alza","Varias","Nuevos bufetes","ADA estatal/federal"
